Customer_ID,Age,Gender,Tenure_Months,Monthly_Charges,Total_Charges,Contract_Type,Payment_Method,Internet_Service,Customer_Support_Calls,Churn
10001,56,Male,43,3132.19,33157.99,Monthly,Credit Card,Fiber,14,No
10002,69,Female,10,1698.04,24552.47,Quarterly,UPI,DSL,2,Yes
10003,46,Male,1,641.04,152375.27,Monthly,UPI,None,4,No
10004,32,Male,49,1037.52,185573.21,Yearly,UPI,Fiber,3,No
10005,60,Female,11,3300.36,92198.36,Quarterly,UPI,DSL,6,No
10006,25,Male,22,4704.89,132229.69,Monthly,UPI,DSL,5,No
10007,38,Male,17,1429.4,182977.07,Yearly,Debit Card,None,11,No
10008,56,Female,61,3807.62,18932.61,Monthly,Debit Card,None,2,No
10009,36,Male,61,4399.03,154325.81,Monthly,Net Banking,None,10,No
10010,40,Female,37,2843.97,123746.56,Monthly,Debit Card,None,7,No
10011,28,Female,66,3511.7,120128.8,Yearly,Credit Card,DSL,7,No
10012,28,Female,37,4167.57,59215.55,Yearly,Net Banking,None,13,No
10013,41,Female,66,1673.04,137094.78,Monthly,Debit Card,None,1,No
10014,53,Female,60,1836.03,159164.75,Quarterly,Net Banking,DSL,6,No
10015,57,Male,0,502.82,23458.77,Quarterly,Net Banking,DSL,13,Yes
10016,41,Male,44,4833.92,107170.76,Quarterly,UPI,Fiber,0,No
10017,20,Female,27,4628.95,21151.77,Monthly,Net Banking,DSL,1,Yes
10018,39,Female,20,3940.56,174642.23,Monthly,Debit Card,Fiber,7,Yes
10019,19,Male,12,855.84,102019.71,Quarterly,UPI,None,11,No
10020,41,Female,26,2513.76,161785.17,Monthly,Debit Card,Fiber,0,No
10021,61,Female,6,958.51,74249.04,Monthly,UPI,Fiber,1,Yes
10022,47,Female,21,571.64,25890.57,Quarterly,Debit Card,None,11,No
10023,55,Male,52,3272.82,9258.36,Monthly,UPI,None,0,No
10024,19,Male,3,4823.73,57020.41,Yearly,UPI,None,4,No
10025,38,Female,22,4562.91,49602.51,Monthly,Credit Card,Fiber,6,Yes
10026,50,Female,69,3635.4,112510.04,Yearly,Debit Card,DSL,5,No
10027,29,Male,32,934.88,5326.03,Monthly,Net Banking,DSL,5,No
10028,39,Male,27,1733.74,104593.54,Monthly,UPI,DSL,5,No
10029,61,Female,7,1940.26,78962.58,Monthly,Debit Card,None,7,No
10030,42,Female,0,3934.18,115847.33,Quarterly,UPI,None,4,No
10031,66,Male,36,4110.12,140781.09,Quarterly,Credit Card,DSL,14,No
10032,44,Male,62,2232.98,127184.3,Monthly,Credit Card,None,9,No
10033,59,Male,21,2380.48,196944.23,Monthly,Credit Card,Fiber,6,No
10034,45,Female,69,700.29,28514.8,Quarterly,Credit Card,Fiber,2,No
10035,33,Male,20,1801.12,86517.66,Monthly,Net Banking,None,8,No
10036,32,Female,34,2530.78,85541.32,Quarterly,Net Banking,DSL,9,No
10037,64,Male,4,1026.42,83993.59,Monthly,UPI,DSL,2,No
10038,68,Male,59,2539.7,133095.88,Quarterly,Debit Card,Fiber,13,No
10039,61,Male,45,4339.29,98475.78,Quarterly,Credit Card,None,13,Yes
10040,69,Male,49,3115.94,103969.08,Yearly,Credit Card,DSL,5,No
10041,20,Female,47,855.18,87038.84,Quarterly,Net Banking,DSL,2,No
10042,54,Female,5,1362.52,198348.19,Monthly,Net Banking,None,0,No
10043,68,Male,55,2635.45,185584.71,Monthly,Credit Card,None,0,No
10044,24,Female,58,2126.69,62237.11,Quarterly,Debit Card,DSL,2,Yes
10045,38,Male,28,2114.27,23207.19,Monthly,UPI,None,3,No
10046,26,Male,70,2881.7,168113.18,Yearly,UPI,None,13,No
10047,56,Male,17,3129.78,199436.88,Quarterly,UPI,None,1,Yes
10048,35,Male,1,4085.88,59229.17,Monthly,UPI,DSL,8,Yes
10049,21,Female,7,2034.35,72199.2,Monthly,Debit Card,Fiber,14,No
10050,42,Male,53,4124.6,188385.0,Monthly,Debit Card,None,10,No
10051,31,Male,37,2023.75,142514.77,Monthly,Debit Card,DSL,7,No
10052,67,Female,47,749.45,59832.03,Monthly,Net Banking,Fiber,11,No
10053,26,Male,26,2993.84,116628.25,Monthly,Credit Card,DSL,12,No
10054,43,Male,19,3145.56,188901.69,Monthly,Debit Card,DSL,2,No
10055,19,Male,11,4705.43,162550.81,Monthly,UPI,DSL,6,No
10056,37,Female,42,3767.28,148624.71,Monthly,Debit Card,Fiber,3,No
10057,45,Male,60,4629.98,147662.27,Monthly,Credit Card,DSL,4,No
10058,64,Female,30,4587.56,36426.04,Monthly,Net Banking,Fiber,3,Yes
10059,24,Male,60,3220.58,165111.57,Quarterly,UPI,None,8,No
10060,61,Male,66,2874.93,55947.61,Monthly,Net Banking,Fiber,10,No
10061,25,Female,34,3008.48,186142.96,Monthly,Debit Card,DSL,6,No
10062,64,Male,14,4902.49,73563.36,Quarterly,UPI,Fiber,12,Yes
10063,52,Male,15,3979.25,171674.42,Yearly,UPI,DSL,3,No
10064,31,Female,12,978.2,53980.47,Monthly,Debit Card,None,12,Yes
10065,34,Female,34,4002.93,103390.86,Monthly,Debit Card,Fiber,7,No
10066,53,Female,58,1267.42,22270.17,Monthly,Credit Card,None,1,No
10067,67,Female,20,2513.08,132363.66,Monthly,Debit Card,Fiber,6,No
10068,57,Female,53,1447.07,167379.78,Yearly,Debit Card,DSL,10,Yes
10069,21,Male,29,3603.12,143971.01,Quarterly,Debit Card,Fiber,0,No
10070,19,Female,47,4447.89,105128.44,Quarterly,UPI,None,7,No
10071,23,Male,34,1806.63,9978.06,Monthly,Credit Card,Fiber,12,No
10072,59,Male,37,869.05,186754.76,Quarterly,UPI,None,13,No
10073,21,Male,30,1843.22,141392.42,Monthly,Debit Card,None,11,No
10074,46,Female,23,3525.63,149426.98,Monthly,Credit Card,DSL,13,No
10075,35,Female,48,1979.42,159141.43,Monthly,Debit Card,Fiber,12,No
10076,43,Male,31,1751.5,149800.94,Monthly,UPI,None,14,No
10077,61,Female,54,1329.96,88782.12,Monthly,UPI,DSL,5,Yes
10078,51,Female,57,2738.82,146990.74,Quarterly,Debit Card,DSL,11,No
10079,27,Female,2,1741.77,125380.33,Monthly,Credit Card,DSL,4,No
10080,53,Female,68,3789.55,170949.25,Monthly,UPI,None,8,No
10081,31,Male,9,844.8,160689.5,Monthly,Debit Card,Fiber,8,Yes
10082,48,Male,24,3488.15,9233.5,Monthly,Net Banking,None,2,No
10083,65,Female,67,1569.02,76398.53,Quarterly,Debit Card,DSL,8,No
10084,32,Male,60,2701.76,7908.51,Quarterly,Debit Card,None,12,No
10085,25,Female,28,1787.4,21312.91,Quarterly,Credit Card,None,14,No
10086,31,Female,18,3752.46,120680.73,Monthly,Debit Card,DSL,12,No
